customer_id,full_name,email,phone,address,city,state,zip_code,total_orders,total_spent,loyalty_points,preferred_payment,age,birth_date,gender,segment,registered_on,final_status
1,alice.johnson@email.com,customer1@example.com,(555) 368-2240,3861 First St,Los Angeles,PA,nan,10,3302.13,762,cash,,,other,general,2020-07-10,active
2,alice.johnson@email.com,customer2@example.com,,3798 First St,Los Angeles,California,17896.0,18,2387.55,891,cash,53.0,1976-08-07,m,premium,2023-02-01,active
3,EVE WHITE,user3@domain.com,555-1848,6800 Main St,new_york,NY,70271.0,45,1586.83,306,debit_card,67.0,1961-02-20,,general,NaT,suspended
4,diana.prince,customer4@example.com,555-1540,8985 Second Ave,Phoenix,TX,77661.0,16,2221.77,298,cash,29.0,,other,new,2023-08-23,pending
5,EVE WHITE,customer5@example.com,,4681 Pine Rd,chicago,IL,nan,40,131.8,759,cash,,1970-05-07,,regular,2021-07-05,inactive
6,henry.davis123,customer6@example.com,555-1925,6519 Main St,Los Angeles,NY,60009.0,0,4876.92,550,credit_card,33.0,,other,new,2023-05-04,inactive
7,Charlie Brown,customer7@example.com,,1176 Second Ave,Phoenix,PA,46049.0,35,4499.32,930,paypal,68.0,1991-03-18,female,vip,NaT,active
8,Grace Lee,customer8@example.com,555-7648,7209 Pine Rd,Phoenix,New York,nan,7,4130.94,903,cash,59.0,1970-09-20,,vip,2020-03-20,inactive
9,Charlie Brown,customer9@example.com,555-1193,6709 Main St,New York,California,29516.0,33,1643.58,917,cash,58.0,,m,general,2022-06-26,inactive
10,jane_doe,customer10@example.com,555-6628,970 Pine Rd,NYC,TX,46077.0,21,3174.75,259,cash,,,f,regular,NaT,inactive
11,henry.davis123,customer11@example.com,(555) 236-5602,996 Oak Ave,New York,TX,21450.0,7,4905.56,616,cash,26.0,1978-02-24,f,general,2020-04-19,unknown
12,EVE WHITE,customer12@example.com,555-1577,4051 Oak Ave,new_york,NY,27124.0,40,4702.33,914,paypal,66.0,,other,general,2022-10-26,pending
13,Charlie Brown,customer13@example.com,,7197 Main St,Chicago,TX,62410.0,35,2949.34,842,credit_card,,,,vip,2021-05-11,unknown
14,diana.prince,customer14@example.com,(555) 469-8836,8599 First St,chicago,AZ,69986.0,24,4892.51,885,credit_card,24.0,1987-10-16,,regular,2020-11-26,pending
15,Charlie Brown,customer15@example.com,(555) 255-2571,5181 Pine Rd,chicago,New York,32230.0,18,277.38,769,paypal,35.0,,f,new,2021-12-15,active
16,jane_doe,customer16@example.com,(555) 256-9417,5470 Pine Rd,philadelphia,IL,53867.0,10,3574.79,760,debit_card,,1965-02-08,male,premium,2023-07-18,suspended
17,alice.johnson@email.com,customer17@example.com,,4548 First St,new_york,PA,17437.0,7,1368.59,724,cash,,,f,vip,2020-02-08,unknown
18,Grace Lee,customer18@example.com,,1392 First St,Houston,AZ,15114.0,42,4654.2,971,cash,46.0,1968-08-03,other,premium,2021-04-13,active
