customer_id,full_name,email,order_id,product_id,order_timestamp,total_spent,payment_status,delivery_status,segment,state,category,quantity,unit_cost,order_total,discount,shipping_cost,tax,notes,last_updated
CLI_0348,Alice Johnson,reconcile1@test.com,TXN_00952,ITM_123,11/18/2023,171.92,FAILED,PENDING,VIP,EAST,HOME,7,46.79,266.8,51.74,27.7,62.91,,2023-10-10T18:30:00.000Z
CLI_0137,Bob Wilson,reconcile2@test.com,TXN_00409,ITM_155,3/6/2023,942.89,FAILED,PENDING,VIP,NORTH,ELECTRONICS,2,177.48,829.07,85.2,22.88,18.96,,2023-11-26T18:30:00.000Z
CLI_0147,Alice Johnson,reconcile3@test.com,TXN_00799,ITM_123,8/12/2023,304.47,PENDING,IN_TRANSIT,STANDARD,EAST,ELECTRONICS,8,268.01,230.33,61.56,23.44,56.06,,2023-12-03T18:30:00.000Z
CLI_0333,John Smith,reconcile4@test.com,TXN_00496,ITM_002,2/23/2023,471.93,FAILED,DELIVERED,STANDARD,WEST,FASHION,6,109.07,134.86,21.18,15.88,15.34,,2023-12-08T18:30:00.000Z
CLI_0297,Bob Wilson,reconcile5@test.com,TXN_00077,ITM_129,3/1/2023,734.91,PENDING,DELIVERED,STANDARD,WEST,ELECTRONICS,7,57.84,520.35,68.92,21.47,33.9,,2023-06-13T18:30:00.000Z
CLI_0329,John Smith,reconcile6@test.com,TXN_00672,ITM_031,9/17/2023,470.57,COMPLETED,DELIVERED,STANDARD,NORTH,BOOKS,5,268.35,221.33,63.81,17.97,14.35,,2023-07-17T18:30:00.000Z
CLI_0303,John Smith,reconcile7@test.com,TXN_00298,ITM_132,12/2/2023,854.29,FAILED,IN_TRANSIT,VIP,WEST,HOME,3,231.5,882.0,45.27,20.65,20.28,Additional processing required,2023-08-14T18:30:00.000Z
CLI_0469,Alice Johnson,reconcile8@test.com,TXN_00212,ITM_109,2/27/2023,287.11,PENDING,PENDING,VIP,NORTH,ELECTRONICS,4,131.31,704.52,61.15,8.09,14.47,,2023-04-26T18:30:00.000Z
CLI_0245,John Smith,reconcile9@test.com,TXN_00687,ITM_058,8/12/2023,323.67,PENDING,IN_TRANSIT,PREMIUM,SOUTH,FASHION,6,181.04,231.72,56.08,13.75,52.76,,2023-02-15T18:30:00.000Z
CLI_0152,John Smith,reconcile10@test.com,TXN_00869,ITM_118,6/3/2023,671.03,COMPLETED,DELIVERED,PREMIUM,SOUTH,ELECTRONICS,1,79.34,464.95,34.25,7.11,36.49,,2023-02-02T18:30:00.000Z
