order_id,ord_id,customer_id,cust_id,order_date,order_datetime,product_id,item_id,quantity,qty,unit_price,price,total_amount,order_total,shipping_cost,tax,discount,status,order_status,payment_method,shipping_address,notes,tracking_number
ORD_00001,1,325,CUST_0325,2023-03-06,2023-12-06T05:09:00.000Z,PROD_187,126,9,5,46.25,304.96,954.20,462.79,14.50,33.51,0.00,returned,returned,credit_card,6771 Oak Ave,,TRK752405
ORD_00002,2,204,CUST_0204,2023-02-11,2023-05-11T01:11:00.000Z,PROD_159,174,2,5,500.64,208.61,88.29,228.20,15.21,46.06,0.00,,SHIPPED,cash,3778 Pine Rd,,
ORD_00003,3,220,CUST_0220,2023-03-02,2023-06-19T11:15:00.000Z,PROD_003,97,8,1,97.74,327.49,393.36,254.74,6.82,12.93,14.45,pending,pending,cash,4701 Main St,,TRK597063
ORD_00004,4,383,CUST_0383,5/22/2023,2023-02-25T15:36:00.000Z,PROD_035,125,10,3,403.28,380.04,857.24,337.90,0.00,27.17,0.00,,SHIPPED,credit_card,8807 Main St,Special delivery instructions,
ORD_00005,5,171,CUST_0171,,,PROD_198,103,6,2,298.97,199.05,219.12,587.97,0.00,7.79,38.95,processing,pending,credit_card,6043 Oak Ave,,
ORD_00006,6,125,CUST_0125,9/7/2023,2023-12-05T11:04:00.000Z,PROD_057,118,7,5,434.96,34.12,951.72,461.47,22.20,21.98,0.00,CANCELLED,,paypal,2611 Pine Rd,,TRK585775
ORD_00007,7,305,CUST_0305,6/10/2023,2023-03-23T00:20:00.000Z,PROD_085,149,7,1,196.40,164.18,863.60,543.95,0.00,27.81,0.00,CANCELLED,processing,debit_card,6662 Main St,,TRK433857
ORD_00008,8,127,CUST_0127,6/12/2023,2023-03-09T09:00:00.000Z,PROD_083,28,7,1,278.58,33.73,123.17,695.56,16.38,16.51,0.00,delivered,processing,cash,9735 Main St,,
ORD_00009,9,124,CUST_0124,5/20/2023,2023-02-20T05:22:00.000Z,PROD_138,86,1,4,146.23,104.10,502.85,540.91,22.99,36.56,0.00,CANCELLED,processing,paypal,8587 Oak Ave,,TRK542546
ORD_00010,10,144,CUST_0144,,2023-06-02T12:24:00.000Z,PROD_032,175,2,4,274.26,337.04,333.30,761.51,13.42,48.37,0.00,delivered,,cash,8012 Main St,Special delivery instructions,TRK683673
ORD_00011,11,132,CUST_0132,2023-11-23,2023-09-22T01:08:00.000Z,PROD_145,67,8,5,347.87,406.55,958.60,78.65,16.56,39.84,45.53,,SHIPPED,bank_transfer,1573 Main St,,
ORD_00012,12,490,CUST_0490,2023-01-17,,PROD_200,16,9,2,422.39,122.36,734.06,232.54,15.24,32.11,0.00,pending,processing,cash,4283 Pine Rd,,TRK802869
ORD_00013,13,281,CUST_0281,2/15/2023,2023-10-15T04:16:00.000Z,PROD_123,24,1,5,403.71,371.02,750.15,237.18,15.66,34.25,0.00,delivered,processing,paypal,228 Pine Rd,,TRK395770
ORD_00014,14,286,CUST_0286,2023-10-21,2023-12-14T07:47:00.000Z,PROD_036,128,2,1,69.77,21.76,1042.22,110.69,17.21,24.81,21.40,CANCELLED,pending,bank_transfer,9544 Pine Rd,,TRK753911
ORD_00015,15,26,CUST_0026,11/20/2023,,PROD_020,173,1,3,216.66,171.75,942.88,666.95,0.00,36.27,0.00,returned,returned,bank_transfer,4037 Main St,,
ORD_00016,16,55,CUST_0055,7/23/2023,,PROD_198,177,1,4,441.49,141.45,641.78,494.92,0.00,23.59,0.00,processing,,bank_transfer,1665 Main St,,
ORD_00017,17,408,CUST_0408,11/11/2023,2023-01-22T10:22:00.000Z,PROD_149,47,8,3,448.62,151.94,927.32,449.07,0.00,16.64,0.00,processing,CANCELLED,bank_transfer,5495 Oak Ave,,TRK155005
ORD_00018,18,85,CUST_0085,2023-12-06,2023-10-07T16:32:00.000Z,PROD_197,121,10,5,469.23,285.38,776.96,92.63,16.35,32.92,0.00,CANCELLED,SHIPPED,debit_card,5771 Main St,,TRK145177
ORD_00019,19,304,CUST_0304,2023-07-07,2023-05-03T20:04:00.000Z,PROD_034,110,10,4,212.91,386.90,710.90,205.15,13.74,14.12,0.00,returned,pending,cash,6124 Pine Rd,,
ORD_00020,20,468,CUST_0468,2023-10-25,2023-05-02T15:50:00.000Z,PROD_196,134,8,5,254.03,342.74,476.23,350.51,0.00,36.79,0.00,,CANCELLED,cash,6586 Oak Ave,,TRK989785
ORD_00021,21,191,CUST_0191,11/17/2023,2023-04-23T02:39:00.000Z,PROD_053,175,7,1,329.80,350.37,193.96,74.65,13.77,4.08,22.83,delivered,pending,bank_transfer,1640 Oak Ave,Special delivery instructions,TRK335964
ORD_00022,22,79,CUST_0079,2023-06-12,2023-04-16T21:56:00.000Z,PROD_155,147,9,4,195.29,249.53,275.88,189.26,24.42,2.63,0.00,SHIPPED,,cash,1719 Oak Ave,,
ORD_00023,23,278,CUST_0278,2023-11-19,,PROD_194,193,1,5,192.76,272.96,921.78,430.63,0.00,31.25,0.00,CANCELLED,processing,credit_card,7423 Pine Rd,,TRK824951
